country_or_region,year,demand_mwh_per_capita,emissions_intensity_gco2_per_kwh,capacity_gw_solar,capacity_gw_wind,capacity_gw_bioenergy,capacity_gw_coal,capacity_gw_hydro,capacity_gw_fossil,emissions_mtco2_wind,emissions_mtco2_solar,emissions_mtco2_bioenergy,emissions_mtco2_coal,emissions_mtco2_hydro,emissions_mtco2_fossil,generation_twh_wind,generation_twh_solar,generation_twh_bioenergy,generation_twh_coal,generation_twh_hydro,generation_twh_fossil
Brazil,2000,2.192,86.608,0,0.02,2.66,1.37,61.06,4.36,0,0,1.7,8.74,7.23,20.68,0,0,7.41,10.66,301.36,28.87
Brazil,2001,2.026,100.412,0,0.02,2.66,1.37,62.41,6.38,0,0,1.95,8.9,6.36,23.97,0.04,0,8.47,10.85,265.2,35.19
Brazil,2002,2.088,91.863,0,0.02,2.67,1.37,64.47,8.3,0,0,2.22,7.39,6.8,22.07,0.06,0,9.66,9.01,283.23,33.5
Brazil,2003,2.174,85.316,0,0.02,2.7,1.37,67.7,9.55,0,0,2.59,7.35,7.26,20.61,0.06,0,11.26,8.96,302.56,31.62
Brazil,2004,2.266,94.42,0,0.02,3.12,1.37,69.09,12.87,0,0,2.71,8.45,7.62,25.52,0.06,0,11.78,10.3,317.59,40.14
Brazil,2005,2.327,91.833,0,0.03,3.34,1.37,71.06,12.96,0,0,2.94,8.86,8.02,25.27,0.09,0,12.79,10.81,334.08,39.56
Brazil,2006,2.4,89.578,0,0.24,3.7,1.37,73.68,13.17,0,0,3.22,8.62,8.29,25.23,0.24,0,13.99,10.51,345.32,39.4
Brazil,2007,2.495,85.779,0,0.25,4.1,1.37,76.87,13.28,0.01,0,3.9,8.68,8.89,24.56,0.64,0,16.97,10.58,370.27,37.64
Brazil,2008,2.579,105.632,0,0.4,5.05,1.37,77.54,13.84,0.01,0,4.35,9.57,8.78,34.73,0.84,0,18.91,11.67,365.86,55.87
Brazil,2009,2.564,83.764,0,0.6,5.72,1.45,78.61,14.72,0.01,0,5.02,8.09,9.29,23.95,1.24,0,21.81,9.86,387.08,36.32
Brazil,2010,2.778,104.977,0,0.93,7.93,1.91,80.7,17.69,0.02,0,7.02,9.14,9.68,36.73,2.18,0,30.52,11.15,403.29,61.02
Brazil,2011,2.842,93.555,0.01,1.43,9.03,1.91,82.46,18.41,0.03,0,7.2,10.34,10.28,31.65,2.7,0,31.29,12.61,428.33,50.27
Brazil,2012,2.937,117.753,0.01,1.89,9.92,2.26,84.29,18.98,0.06,0,7.91,11.64,9.97,46.31,5.05,0,34.39,14.19,415.34,77.21
Brazil,2013,2.993,152.159,0.01,2.2,11.6,3.35,86.02,21.56,0.07,0,9.03,17.54,9.38,67.08,6.58,0,39.27,21.39,390.99,112
Brazil,2014,3.026,175.403,0.02,4.89,12.34,3.35,89.19,22.15,0.13,0,10.38,21.46,8.96,82.42,12.21,0.02,45.15,26.17,373.44,136.58
Brazil,2015,2.953,170.39,0.05,7.63,13.31,3.35,91.65,22.71,0.24,0,10.93,21.42,8.63,77.42,21.47,0.06,47.54,26.12,359.74,128.85
Brazil,2016,2.959,136.122,0.13,10.13,14.18,3.28,96.93,23.29,0.37,0,11.3,20.51,9.14,56.79,33.24,0.08,49.14,25.01,380.91,93.06
